SUBJECT,RELATION,OBJECT,SCORE
840,similarTo,376,0.10424710424710425
840,similarTo,743,0.04826254826254826
840,similarTo,40,0.2557915057915058
840,similarTo,513,0.17857142857142858
840,similarTo,351,0.13416988416988418
840,similarTo,746,0.333011583011583
840,similarTo,167,0.21911196911196912
840,similarTo,78,0.13416988416988418
840,similarTo,439,0.13416988416988418
840,similarTo,311,0.22972972972972974
840,similarTo,611,0.0888030888030888
840,similarTo,9,0.1891891891891892
840,similarTo,299,0.26158301158301156
840,similarTo,433,0.333011583011583
840,similarTo,510,0.17471042471042472
840,similarTo,400,0.20077220077220076
840,similarTo,360,0.26158301158301156
840,similarTo,461,0.36293436293436293
840,similarTo,638,0.2557915057915058
840,similarTo,266,0.3407335907335907
840,similarTo,728,0.36293436293436293
840,similarTo,97,0.277992277992278
840,similarTo,295,0.2335907335907336
840,similarTo,399,0.45077220077220076
840,similarTo,788,0.3465250965250965
840,similarTo,847,0.16216216216216217
840,similarTo,156,0.22972972972972974
840,similarTo,538,0.305984555984556
840,similarTo,606,0.07915057915057915
840,similarTo,395,0.49324324324324326
840,similarTo,244,0.48841698841698844
840,similarTo,774,0.3310810810810811
840,similarTo,141,0.36293436293436293
840,similarTo,216,0.20077220077220076
840,similarTo,604,0.19594594594594594
840,similarTo,887,0.17857142857142858
840,similarTo,546,0.333011583011583
840,similarTo,282,0.07915057915057915
840,similarTo,194,0.13416988416988418
840,similarTo,822,0.1776061776061776
840,similarTo,567,0.43822393822393824
840,similarTo,889,0.0019305019305019305
840,similarTo,629,0.2886100386100386
840,similarTo,627,0.20077220077220076
840,similarTo,179,0.16505791505791506
840,similarTo,361,0.4613899613899614
840,similarTo,354,0.10907335907335908
840,similarTo,798,0.021235521235521235
840,similarTo,386,0.21911196911196912
840,similarTo,303,0.277992277992278
840,similarTo,917,0.09555984555984556
840,similarTo,910,0.4025096525096525
840,similarTo,699,0.305984555984556
840,similarTo,718,0.3465250965250965
840,similarTo,655,0.42277992277992277
840,similarTo,112,0.20077220077220076
840,similarTo,269,0.42277992277992277
840,similarTo,126,0.3909266409266409
840,similarTo,372,0.20077220077220076
840,similarTo,816,0.16312741312741313
840,similarTo,72,0.49324324324324326
840,similarTo,434,0.13416988416988418
840,similarTo,478,0.04826254826254826
840,similarTo,772,0.305984555984556
840,similarTo,380,0.21814671814671815
840,similarTo,696,0.07915057915057915
840,similarTo,589,0.4613899613899614
840,similarTo,407,0.2886100386100386
840,similarTo,955,0.49324324324324326
840,similarTo,415,0.3465250965250965
840,similarTo,259,0.41312741312741313
840,similarTo,292,0.3465250965250965
840,similarTo,836,0.3465250965250965
840,similarTo,570,0.3938223938223938
840,similarTo,90,0.04826254826254826
840,similarTo,24,0.305984555984556
840,similarTo,571,0.26158301158301156
840,similarTo,93,0.16216216216216217
840,similarTo,297,0.10907335907335908
840,similarTo,283,0.2557915057915058
840,similarTo,560,0.2886100386100386
840,similarTo,902,0.09555984555984556
840,similarTo,937,0.49324324324324326
840,similarTo,286,0.41312741312741313
840,similarTo,725,0.49324324324324326
840,similarTo,594,0.07915057915057915
840,similarTo,486,0.4333976833976834
840,similarTo,527,0.08976833976833977
840,similarTo,561,0.2335907335907336
840,similarTo,377,0.3407335907335907
840,similarTo,628,0.21911196911196912
840,similarTo,841,0.3465250965250965
840,similarTo,333,0.4613899613899614
840,similarTo,945,0.305984555984556
840,similarTo,564,0.2557915057915058
840,similarTo,607,0.13416988416988418
840,similarTo,623,0.2335907335907336
840,similarTo,487,0.07915057915057915
840,similarTo,205,0.36293436293436293
840,similarTo,237,0.41312741312741313
840,similarTo,71,0.17857142857142858
840,similarTo,69,0.24806949806949807
840,similarTo,135,0.305984555984556
840,similarTo,477,0.26158301158301156
840,similarTo,139,0.07915057915057915
840,similarTo,276,0.0694980694980695
